16	0	1	+3.4118418e-03	-8.7596383e-03	+6.2175613e-03	-6.2607009e-05	-3.2085264e-06	-2.2952940e-05	-1.5545270e+00	-3.8618990e+00	+5.5209280e+01	+1.4734860e+02	+1.3201020e+02	+3.5054380e+01	+4.5076349e-03	-9.2576082e-03	+2.1256579e-03	-1.2436779e-04	+2.5969195e-05	+4.8822944e-05	+2.6041150e+00	-2.4905200e+00	+2.6233700e+01	+1.3648900e+02	+9.1988850e+01	-4.6126810e+01	
16	0	2	+3.4408758e-03	-1.2014433e-02	+6.2137517e-03	-6.4706372e-05	-2.0261986e-06	-1.2455544e-05	-1.4709800e+00	-4.2383390e+00	+5.5027810e+01	+1.4390460e+02	+1.3081760e+02	+3.8929960e+01	+3.9060658e-03	-9.7684499e-03	+1.7210477e-03	-9.3867205e-05	+3.8310924e-05	+3.0232747e-05	+2.6478190e+00	-2.4787550e+00	+2.6110300e+01	+1.3624560e+02	+8.9826060e+01	-4.6009430e+01	
16	0	3	+3.2491121e-03	-1.2381036e-02	+6.5368387e-03	-4.3130091e-05	+1.1921700e-06	-1.8328281e-05	-1.4266560e+00	-4.2245820e+00	+5.4834100e+01	+1.4370850e+02	+1.2963450e+02	+3.7905250e+01	+3.9260416e-03	-1.0506337e-02	+2.4246660e-03	-1.0174530e-04	+3.5410701e-05	+5.4714787e-05	+2.8161360e+00	-2.5003880e+00	+2.8706560e+01	+1.3375350e+02	+1.2096290e+02	-4.5395550e+01	
17	0	0	+3.2309661e-03	-1.2670339e-02	+6.3289102e-03	-5.8669972e-05	-5.2783273e-06	-3.0717238e-05	-1.4306580e+00	-3.9274120e+00	+5.4670050e+01	+1.6443630e+02	+1.3179170e+02	+2.9307980e+01	+4.5385432e-03	-1.0214426e-02	+2.4336562e-03	-1.0225194e-04	+3.5230051e-05	+6.0566552e-05	+2.8701780e+00	-2.4135150e+00	+2.8063600e+01	+1.3010460e+02	+9.6153720e+01	-4.6777880e+01	
17	0	1	+3.2577955e-03	-1.3198166e-02	+6.1405456e-03	-4.4540610e-05	+1.0492821e-06	-4.2818234e-05	-1.3841650e+00	-3.9759780e+00	+6.0163300e+01	+1.5000010e+02	+1.3024140e+02	+2.9099580e+01	+3.9352324e-03	-9.5885740e-03	+1.8114365e-03	-1.1629368e-04	+4.1759866e-05	+4.2740462e-05	+2.8263120e+00	-2.6489720e+00	+2.7813670e+01	+1.2842300e+02	+9.0757340e+01	-4.6219780e+01	
17	0	2	+3.2281684e-03	-1.2045644e-02	+7.0490030e-03	-3.5468206e-05	-2.0481435e-06	-1.8038401e-05	-1.4816920e+00	-3.9442650e+00	+6.5173840e+01	+1.4953490e+02	+1.2786240e+02	+2.6417930e+01	+4.3829606e-03	-9.0645362e-03	+2.3146995e-03	-1.2406892e-04	+4.4905476e-05	+5.4672067e-05	+2.9755880e+00	-2.8178760e+00	+3.1414750e+01	+1.3010940e+02	+1.1460340e+02	-4.4269190e+01	
17	0	3	+2.6532442e-03	-1.2045953e-02	+7.5173210e-03	-5.9048562e-05	+6.8905299e-06	-3.6465601e-05	-1.5180520e+00	-3.9944480e+00	+6.5018790e+01	+1.4817330e+02	+1.2634580e+02	+2.8030070e+01	+4.0947408e-03	-1.0983123e-02	+2.7105836e-03	-1.2430773e-04	+3.2277695e-05	+3.7725387e-05	+2.8918970e+00	-3.0839490e+00	+3.1054980e+01	+1.3169410e+02	+1.1746650e+02	-4.8044790e+01	
18	0	0	+2.7864873e-03	-1.2701385e-02	+7.0508504e-03	-5.2293089e-05	-1.4966228e-05	-4.2628564e-05	-1.3699730e+00	-3.8945400e+00	+6.1929420e+01	+1.7299490e+02	+1.1674610e+02	+2.9509720e+01	+4.2567011e-03	-1.1303576e-02	+2.4312026e-03	-1.0227960e-04	+2.2616362e-05	+4.3200021e-05	+3.0221730e+00	-2.8678950e+00	+3.0584110e+01	+1.4379630e+02	+9.5179490e+01	-4.7307740e+01	
18	0	1	+3.6179926e-03	-1.2570053e-02	+7.1619618e-03	-2.8309052e-05	-5.1663818e-06	-3.0208373e-05	-1.4331240e+00	-3.9460650e+00	+6.7179110e+01	+1.6447850e+02	+1.2984220e+02	+2.7992310e+01	+4.0782776e-03	-1.1122394e-02	+2.8311109e-03	-1.0211670e-04	+2.2733414e-05	+4.9085238e-05	+2.9508000e+00	-2.9114340e+00	+3.4182080e+01	+1.4279130e+02	+1.0497430e+02	-4.6153640e+01	
18	0	2	+3.5609733e-03	-1.1531301e-02	+7.5428116e-03	-5.7357232e-05	-1.8225558e-05	-3.0107808e-05	-1.4598510e+00	-3.9127210e+00	+7.1735810e+01	+1.5753050e+02	+1.3556370e+02	+2.6061750e+01	+4.6406411e-03	-1.0770593e-02	+2.6288292e-03	-1.1737624e-04	+1.6253391e-05	+3.1475017e-05	+2.9812900e+00	-2.9277670e+00	+3.3756860e+01	+1.4246710e+02	+1.0466850e+02	-4.6051240e+01	
